epoch,train_loss,val_loss,train_acc,val_acc
11,1.3169601634144783,0.8940441012382507,0.801980198019802,0.7635
12,1.1735601052641869,0.7552989423274994,0.8435643564356435,0.8045
13,1.0872179754078388,0.694978803396225,0.8762376237623762,0.8315
14,1.0302094519138336,0.6230469644069672,0.8831683168316832,0.8455
15,0.8946745060384274,0.5592352151870728,0.8782178217821782,0.8435
16,0.8655370846390724,0.5195873379707336,0.8821782178217822,0.8505
17,0.8499372079968452,0.4857671558856964,0.903960396039604,0.8695
18,0.7657722271978855,0.4580261707305908,0.9148514851485149,0.874
19,0.7897114381194115,0.4492763578891754,0.9089108910891089,0.882
20,0.7491477280855179,0.4143945276737213,0.9188118811881189,0.8825
