epoch,train_loss,val_loss,train_acc,val_acc
1,2.323901057243347,2.297375440597534,0.14,0.174
2,2.303838014602661,2.2905819416046143,0.16,0.172
3,2.252779960632324,2.2846955060958862,0.18,0.16
4,2.249045252799988,2.279454827308655,0.16,0.15
5,2.2190306186676025,2.2732590436935425,0.16,0.148
6,2.2615537643432617,2.267301321029663,0.21,0.166
7,2.2443283796310425,2.262066125869751,0.23,0.178
8,2.2272435426712036,2.256822943687439,0.25,0.1975
9,2.246904134750366,2.252288341522217,0.29,0.229
10,2.2317744493484497,2.2481157779693604,0.34,0.273
