epoch,train_loss,val_loss,train_acc,val_acc
1,2.318143278360367,2.3005001544952393,0.142,0.1235
2,2.2919411063194275,2.2879329919815063,0.194,0.156
3,2.279217094182968,2.2772504091262817,0.21,0.169
4,2.2649426460266113,2.2647132873535156,0.218,0.169
5,2.2537023723125458,2.2493526935577393,0.226,0.179
6,2.2331480979919434,2.231868624687195,0.242,0.195
7,2.220418870449066,2.211197853088379,0.308,0.234
8,2.1837865710258484,2.179534673690796,0.4,0.3155
9,2.170814722776413,2.1424120664596558,0.438,0.3545
10,2.1224407255649567,2.0889285802841187,0.468,0.4085
