epoch,train_loss,val_loss,train_acc,val_acc
1,2.3182846009731293,2.285754084587097,0.166,0.1305
2,2.2830329835414886,2.2736154794692993,0.22,0.1765
3,2.2729615569114685,2.25936222076416,0.264,0.202
4,2.2643289864063263,2.243266224861145,0.332,0.2775
5,2.2532750070095062,2.2265942096710205,0.356,0.2905
6,2.2423503696918488,2.206292748451233,0.418,0.337
7,2.2060312032699585,2.176647424697876,0.436,0.349
8,2.1702666878700256,2.1354719400405884,0.434,0.361
9,2.1654765605926514,2.0916537046432495,0.476,0.3945
10,2.0916806757450104,2.0274038314819336,0.506,0.432
